lr,batch_size,base_filters,kernel_size,dropout_rate,test_accuracy,model_path
0.001,16,16,3,0.0,0.7077131258457375,checkpoints/model_lr0.001_bs16_f16_k3_d0.0.pth
0.001,16,16,3,0.5,0.7056833558863329,checkpoints/model_lr0.001_bs16_f16_k3_d0.5.pth
0.001,16,16,5,0.0,0.6982408660351827,checkpoints/model_lr0.001_bs16_f16_k5_d0.0.pth
0.001,16,16,5,0.5,0.7341001353179973,checkpoints/model_lr0.001_bs16_f16_k5_d0.5.pth
0.001,16,32,3,0.0,0.34844384303112313,checkpoints/model_lr0.001_bs16_f32_k3_d0.0.pth
0.001,16,32,3,0.5,0.7192151556156969,checkpoints/model_lr0.001_bs16_f32_k3_d0.5.pth
0.001,16,32,5,0.0,0.7388362652232747,checkpoints/model_lr0.001_bs16_f32_k5_d0.0.pth
0.001,16,32,5,0.5,0.7395128552097429,checkpoints/model_lr0.001_bs16_f32_k5_d0.5.pth
0.001,32,16,3,0.0,0.6799729364005412,checkpoints/model_lr0.001_bs32_f16_k3_d0.0.pth
0.001,32,16,3,0.5,0.7023004059539919,checkpoints/model_lr0.001_bs32_f16_k3_d0.5.pth
0.001,32,16,5,0.0,0.6826792963464141,checkpoints/model_lr0.001_bs32_f16_k5_d0.0.pth
0.001,32,16,5,0.5,0.7476319350473613,checkpoints/model_lr0.001_bs32_f16_k5_d0.5.pth
0.001,32,32,3,0.0,0.7192151556156969,checkpoints/model_lr0.001_bs32_f32_k3_d0.0.pth
0.001,32,32,3,0.5,0.6914749661705006,checkpoints/model_lr0.001_bs32_f32_k3_d0.5.pth
0.001,32,32,5,0.0,0.6102841677943166,checkpoints/model_lr0.001_bs32_f32_k5_d0.0.pth
0.001,32,32,5,0.5,0.15899864682002707,checkpoints/model_lr0.001_bs32_f32_k5_d0.5.pth
0.0005,16,16,3,0.0,0.6860622462787551,checkpoints/model_lr0.0005_bs16_f16_k3_d0.0.pth
0.0005,16,16,3,0.5,0.6982408660351827,checkpoints/model_lr0.0005_bs16_f16_k3_d0.5.pth
0.0005,16,16,5,0.0,0.7300405953991881,checkpoints/model_lr0.0005_bs16_f16_k5_d0.0.pth
0.0005,16,16,5,0.5,0.7144790257104194,checkpoints/model_lr0.0005_bs16_f16_k5_d0.5.pth
0.0005,16,32,3,0.0,0.7307171853856563,checkpoints/model_lr0.0005_bs16_f32_k3_d0.0.pth
0.0005,16,32,3,0.5,0.7158322056833559,checkpoints/model_lr0.0005_bs16_f32_k3_d0.5.pth
0.0005,16,32,5,0.0,0.7327469553450608,checkpoints/model_lr0.0005_bs16_f32_k5_d0.0.pth
0.0005,16,32,5,0.5,0.7158322056833559,checkpoints/model_lr0.0005_bs16_f32_k5_d0.5.pth
0.0005,32,16,3,0.0,0.6833558863328822,checkpoints/model_lr0.0005_bs32_f16_k3_d0.0.pth
0.0005,32,16,3,0.5,0.6765899864682002,checkpoints/model_lr0.0005_bs32_f16_k3_d0.5.pth
0.0005,32,16,5,0.0,0.4654939106901218,checkpoints/model_lr0.0005_bs32_f16_k5_d0.0.pth
0.0005,32,16,5,0.5,0.6982408660351827,checkpoints/model_lr0.0005_bs32_f16_k5_d0.5.pth
0.0005,32,32,3,0.0,0.6975642760487145,checkpoints/model_lr0.0005_bs32_f32_k3_d0.0.pth
0.0005,32,32,3,0.5,0.7050067658998647,checkpoints/model_lr0.0005_bs32_f32_k3_d0.5.pth
0.0005,32,32,5,0.0,0.40460081190798375,checkpoints/model_lr0.0005_bs32_f32_k5_d0.0.pth
0.0005,32,32,5,0.5,0.7144790257104194,checkpoints/model_lr0.0005_bs32_f32_k5_d0.5.pth
